,bv,uid,title,duration,pubtime,click,bullet,like,coin,favorite,share,comment,tags,"weight:{'click': 1, 'bullet': 1, 'like': 1, 'coin': 1, 'favorite': 1, 'share': 1, 'comment': 1}"
0,BV1g5411E7sc,18194933,网红建筑竟成自杀胜地？？！！美国纽约地标vessel被迫关停，起因竟然是设计太过超前？？ 网红建筑|抑郁|建筑设计|美国疫情现状|,0 days 00:08:29,2021-02-10 08:54:00,14510000,2354,670000,8492,160000,2079,1572,"['知识', '社科·法律·心理', '美国', '寒假不咕咕', '创意', '社会', '建筑', '设计']",1.2857142857142856
1,BV1F5411H7SV,18194933,看完这6本书，就够了！装修室内设计书籍大揭秘！住宅设计｜房屋改造｜家居生活｜豪宅｜小户型爆改｜书籍推荐,0 days 00:06:07,2021-01-13 10:33:00,3490000,821,230000,150000,410000,3161,469,"['生活', '家居房产', '室内设计', '装修', '家居', '知识分享官', '读书', '学习']",3.1428571428571423
2,BV1bh41147at,18194933,抄作业！向5000一晚宝格丽酒店学装修！！顶级网红酒店大揭秘！家居装修设计必看 ！,0 days 00:10:48,2021-11-20 04:13:51,5050000,1275,130000,6567,130000,2690,489,"['家的主理人', '生活', '家居房产', 'ROOMTOUR', '豪宅', '室内设计', '装修']",3.8571428571428568
3,BV1Mz4y1D7Pv,18194933,除了极简，我们还有这7种超棒的选择！！超美设计风格推荐｜装修设计美学大赏｜建筑艺术人文北欧色彩中式美式法式台式等等等等,0 days 00:07:18,2021-01-30 04:54:44,3130000,1532,150000,5504,130000,1819,563,"['生活', '家居房产', '室内设计', '装修', '家居', '人文', '寒假不咕咕', '社会']",5.142857142857142
4,BV1Py4y1E72f,18194933,神奇建筑在哪里？中国10大奇妙建筑！！超出想象的魔幻！！中国建筑文化｜扎哈｜马岩松｜王澍｜设计｜美学｜奇观｜故宫｜文物,0 days 00:09:24,2021-03-06 14:50:34,2350000,1655,180000,7300,6872,1175,631,"['科技', '科工机械', '互联网', '人文', '把“牛”字打在公屏上', '中国', '社会', '建筑']",6.142857142857143
