,bv,uid,title,duration,pubtime,click,bullet,like,coin,favorite,share,comment,tags,"weight:{'click': 1, 'bullet': 1, 'like': 1, 'coin': 1, 'favorite': 1, 'share': 1, 'comment': 1}"
0,BV1JY411Q7pH,88115701,“见识见识风浪，会会人间的豺狼”,0 days 00:03:50,2023-01-31 13:37:23,2760000,805,130000,3040,1798,1275,1862,"['家的新气象', '生活', '家居房产', '正能量', '邻里纠纷', '豺狼', '楼上漏水']",1.4285714285714284
1,BV1Dy4y1Q7rv,88115701,楼上漏水三年不休，这菩萨我是当不了了！,0 days 00:03:53,2023-01-30 18:31:52,3000000,345,210000,1319,1649,1211,923,"['家的新气象', '生活', '家居房产', '邻里纠纷', '装修避雷', '漏水', '跑水']",1.714285714285714
2,BV1z44y1i7wo,88115701,选你们品牌是我瞎我有病｜求你们别恶心我了,0 days 00:03:36,2021-10-30 20:39:30,3000000,173,260000,1321,1410,164,609,"['家的主理人', '生活', '家居房产', '装修', '家居', '地板', '避坑', '不良商家']",3.2857142857142856
3,BV1qF411c7wS,88115701,姐妹们我又来唱反调了😜翼眠枕头不太行啊,0 days 00:01:59,2022-06-21 21:25:35,2220000,230,210000,370,1140,374,611,"['种草大作战', '生活', '家居房产', '枕头', '睡眠', '网红产品', '翼眠']",3.9999999999999996
4,BV1jG41127hM,88115701,北京16800💰26天的鬼怪月嫂，为何如此不善良,0 days 00:06:34,2023-10-19 15:24:17,2230000,368,5024,234,609,857,705,"['真实带娃日常', '生活', '亲子', '月嫂避雷', '新生儿', '养娃', '月嫂']",5.142857142857142
