,bv,uid,title,duration,pubtime,click,bullet,like,coin,favorite,share,comment,tags,"weight:{'click': 1, 'bullet': 1, 'like': 1, 'coin': 1, 'favorite': 1, 'share': 1, 'comment': 1}"
0,BV1NU4y1f7xp,454560170,阳台玩命设计、鸡肋变形家具，这期真是耸人听闻！,0 days 00:07:43,2022-03-04 11:13:18,166720000,170000,6250000,810000,1480000,210000,4310,"['居家生活小妙招', '生活', '家居房产', '室内设计', '装修', '家居', '生活']",1.0
1,BV1ZS4y1V7fb,454560170,过度装饰线性灯、避重就轻忽悠人，竟然还有几百万赞？,0 days 00:11:13,2022-02-05 04:00:14,104540000,170000,4820000,640000,1320000,280000,4740,"['家的新气象', '生活', '家居房产', '收纳', '室内设计', '装修', '家居', '设计']",1.2857142857142856
2,BV1Ry4y1n77Z,454560170,【住范儿】小户型+榻榻米=后悔！！！,0 days 00:07:35,2021-02-05 11:30:01,59190000,9303,2030000,520000,590000,330000,5747,"['生活', '家居房产', '室内设计', '装修', '家居', '寒假不咕咕']",2.714285714285714
3,BV1Ry4y137SK,454560170,【住范儿】甲醛，家居界的最大智商税,0 days 00:31:20,2021-08-25 11:45:23,23580000,9968,840000,490000,560000,580000,4518,"['生活', '家居房产', '装修', '家居', '居家达人妙妙屋', '环保', '生活', '甲醛']",4.285714285714286
4,BV14W4y1r7fZ,454560170,IKUN主题卧室，玄关挖塌楼房，这期6条腹泻式放送！,0 days 00:15:07,2022-06-24 21:24:30,60930000,9205,3120000,250000,670000,6659,1476,"['生活改造计划', '生活', '家居房产', '室内设计', '装修', '家居', '搞笑']",7.999999999999998
