,bv,uid,title,duration,pubtime,click,bullet,like,coin,favorite,share,comment,tags,"weight:{'click': 1, 'bullet': 1, 'like': 1, 'coin': 1, 'favorite': 1, 'share': 1, 'comment': 1}"
0,BV1sT4y1P7MX,652151234,Vlog精装修到底有多坑|隐患丛生的“网红”【轨道插座】！,0 days 00:09:08,2021-02-01 08:30:02,6020000,1635,160000,4592,3512,1686,1273,"['生活', '家居房产', '装修', '家居', '生活记录', '生活', 'VLOG', '轨道插座']",0.0
1,BV1v64y1o745,652151234,Vlog一分钟说装修 | 铝合金窗防水斜坡，这么做兼具美观与实用！,0 days 00:03:57,2021-05-28 09:00:15,350000,43,794,139,927,370,95,"['生活', '家居房产', '装修', '家居', '我的理想家', '生活', '生活记录', 'VLOG']",5.714285714285714
2,BV1wh411G72p,652151234,全屋定制设计施工避坑分享。,0 days 00:19:36,2023-04-04 19:00:00,190000,199,550,233,630,139,100,"['家居好物红黑榜', '生活', '家居房产', '嗨修全过程验房', '家装', '定制']",6.0
3,BV1fa411r7TS,652151234,精装修中那些不忍直视又隐患丛生的『锅炉！』,0 days 00:03:07,2021-12-20 10:05:00,360000,99,797,59,458,112,89,"['我们住在B站', '生活', '家居房产', '室内设计', '装修', '家居', '生活', '自制']",6.999999999999999
4,BV1dy4y1B7oh,652151234,家装网购注意事项 | 柜门定制也想网购？这些后果你考虑到了吗？,0 days 00:12:50,2020-11-10 02:56:11,150000,90,500,202,460,124,66,"['生活', '家居房产', '装修', '购物分享', '生活记录', '衣柜', 'bilibili新星计划', '定制柜']",9.999999999999998
