,bv,uid,title,duration,pubtime,click,bullet,like,coin,favorite,share,comment,tags,"weight:{'click': 1, 'bullet': 1, 'like': 1, 'coin': 1, 'favorite': 1, 'share': 1, 'comment': 1}"
0,BV1kL4y157T2,1162248798,处女座的家，60㎡如何住出120㎡？绝对是收纳天花板！,0 days 00:14:23,2022-04-08 22:03:47,22240000,6611,760000,390000,1010000,430000,1659,"['生活改造计划', '生活', '家居房产', 'ROOMTOUR', '家居', '生活改造计划·第二期']",0.8571428571428571
1,BV1PB4y1C7JQ,1162248798,丁克夫妻住88㎡「没有门的家」？在家就能遛狗！,0 days 00:14:43,2022-07-30 16:18:54,24610000,6111,1220000,220000,330000,290000,2489,"['生活改造计划', '生活', '家居房产', '装修', '家居', '恋爱', '#超想逛你家#']",0.9999999999999998
2,BV1Xh411N7Ek,1162248798,机械狂夫妇太会玩了！上海66㎡「充满机关的家」长啥样？,0 days 00:15:40,2023-06-17 12:03:14,9980000,2678,510000,190000,240000,140000,1052,"['这房子有点东西', '生活', '家居房产', '室内设计', '机械', '机关', '工业设计']",3.857142857142856
3,BV1da411H7jp,1162248798,她独居6年，和1000本书一起住进35m²的家！,0 days 00:13:47,2022-07-04 12:18:49,15990000,2447,370000,5910,250000,100000,857,"['生活', '家居房产', 'ROOMTOUR', '装修', '家居', '公寓', '小户型设计', '超想逛你家']",6.285714285714285
4,BV1sq4y1f7jW,1162248798,「两个男孩的家」长啥样？去看这个广州46m²小户型！,0 days 00:09:29,2021-09-18 13:47:04,6280000,4148,240000,8413,9809,120000,1418,"['家的主理人', '生活', '家居房产', 'ROOMTOUR', '室内设计', '情侣', '家居']",7.142857142857143
