,bv,uid,title,duration,pubtime,click,bullet,like,coin,favorite,share,comment,tags,"weight:{'click': 1, 'bullet': 1, 'like': 1, 'coin': 1, 'favorite': 1, 'share': 1, 'comment': 1}"
0,BV1Ef4y1W7S1,304578055,【迷瞪】全屋定制到底该怎么买，30分钟从外行到入门,0 days 00:25:17,2021-05-06 17:25:10,30790000,150000,3150000,790000,2150000,510000,3572,"['生活', '家居房产', '室内设计', '装修', '知识分享官', '家具']",2.142857142857143
1,BV1Rb4y1U75i,304578055,【迷瞪】拆个4600块钱的鞋柜，这样的家具可不兴买啊,0 days 00:09:28,2021-08-11 19:05:14,24010000,160000,1860000,790000,380000,200000,6225,"['生活', '家居房产', '室内设计', '科普', '居家达人妙妙屋', '家具']",3.1428571428571423
2,BV1Ui4y1o7BE,304578055,【迷瞪】揭秘装修行业恶心人的潜规则，为啥工人说你自己买的材料质量不好？,0 days 00:04:18,2021-12-02 16:37:58,55160000,4746,5300000,360000,1540000,280000,4365,"['生活', '家居房产', 'ROOMTOUR', '室内设计', '装修', '家居', '手工制作']",3.2857142857142856
3,BV1Tg411u7fb,304578055,【迷瞪】为什么说装修行业是全国最烂最恶心的行业,0 days 00:09:17,2021-07-02 08:40:56,16550000,160000,680000,360000,330000,170000,7081,"['生活', '家居房产', '家居', '知识分享官', '设计', '家具']",6.57142857142857
4,BV1Vg411N7wC,304578055,别纠结这132万被黑多少了，这房子很可能根本没法住,0 days 00:12:46,2021-11-23 02:24:44,29010000,210000,1330000,320000,140000,240000,11848,"['家的主理人', '生活', '家居房产', 'ROOMTOUR', '室内设计', '装修', '家居']",6.571428571428571
