,bv,uid,title,duration,pubtime,click,bullet,like,coin,favorite,share,comment,tags,"weight:{'click': 1, 'bullet': 1, 'like': 1, 'coin': 1, 'favorite': 1, 'share': 1, 'comment': 1}"
0,BV1Q3411g7Gv,353806838,70后丁克夫妻的135平1居室，不生孩子的家长啥样？｜RoomTour,0 days 00:14:41,2022-06-12 19:13:49,29650000,9471,1030000,380000,340000,610000,11833,"['生活改造计划', '生活', '家居房产', 'ROOMTOUR', '装修']",0.0
1,BV1xL411w76R,353806838,65平阁楼+露台？4米大书桌+游戏房！这个家我能宅一辈子｜RoomTour,0 days 00:16:40,2022-03-20 12:45:09,8930000,4270,360000,190000,230000,190000,1088,"['改造前后，判若两屋', '生活', '家居房产', 'ROOMTOUR', '装修', '家居']",2.2857142857142856
2,BV1Ut4y1V7E2,353806838,以猫为本的「四口之家」，这个58㎡小户型治好了我的买房焦虑｜RoomTour,0 days 00:16:52,2022-08-02 11:16:19,7670000,3748,350000,150000,160000,150000,842,"['看一眼就想入住的家', '生活', '家居房产', 'ROOMTOUR', '收纳', '装修', '4K']",4.571428571428571
3,BV16e4y1G7RU,353806838,这才配叫全屋智能！独居宅男爆改75㎡懒人天堂|RoomTour,0 days 00:16:22,2023-01-09 09:49:54,5750000,2871,320000,160000,240000,240000,966,"['安利我的梦中情屋', '生活', '家居房产', '家居', '改造', '智能', '科技']",5.0
4,BV1q34y1S7G7,353806838,处女座的家长啥样？厨房大过卧室！全屋收纳强到爆｜RoomTour,0 days 00:14:44,2021-09-17 10:25:12,4800000,3931,180000,9027,120000,7791,1034,"['家的主理人', '生活', '家居房产']",7.7142857142857135
