,bv,uid,title,duration,pubtime,click,bullet,like,coin,favorite,share,comment,tags,"weight:{'click': 1, 'bullet': 1, 'like': 1, 'coin': 1, 'favorite': 1, 'share': 1, 'comment': 1}"
0,BV1hW411Y7s2,40382041,千元改造7平米出租屋，超粉红的少女INS风！,0 days 00:11:02,2017-12-06 03:08:34,5890000,3662,110000,140000,260000,8252,966,"['生活', '家居房产', '手工', '出租屋改造']",0.0
1,BV1Ep411d7Mg,40382041,花费1000+极致改造6平米北欧风小屋！,0 days 00:11:10,2018-05-29 20:50:12,3880000,1648,9795,7883,9560,3076,745,"['生活', '家居房产', '种草', '手工', '改造', '手作', '出租屋']",2.4285714285714284
2,BV1TW411u7f4,40382041,我的出租屋之原木少女阁楼（上）,0 days 00:11:25,2018-03-28 11:41:23,2270000,1948,6566,5038,6348,2591,609,"['生活', '家居房产', '手工', '少女', '出租屋', '木头', '阁楼']",5.857142857142857
3,BV1AW411e7qM,40382041,卧室飘来一颗蒲公英，一闪一闪亮晶晶！,0 days 00:03:53,2018-01-25 02:02:33,2820000,1154,6974,1974,180000,1540,365,"['生活', '手工', '手工', '蒲公英', '吊灯', '手工吊灯']",6.142857142857142
4,BV1XW411T7j4,40382041,我的出租屋之原木少女阁楼（下）,0 days 00:08:23,2018-04-04 22:43:11,2560000,721,110000,7056,6052,1189,638,"['生活', '家居房产', '装修', '手工', '造物集', '我的出租屋', '生活']",6.7142857142857135
